SECTOR,SIZE,COBERTURA,COUNTRY,PUESTO,EXPERIENCIA,SEXO,DER-LAB,SAL-SEG,RS,INCLU,RES-CS
3,4,2,1,3,1,2,0.724,0.813,-2.211,0.258,1.155
2,4,4,1,4,3,1,-0.219,-0.215,0.013,0.399,1.002
3,2,1,1,4,3,1,-0.743,-0.679,-0.773,-0.777,0.254
1,4,3,1,3,4,2,-0.928,0.591,-0.958,-1.042,-0.655
1,1,2,1,4,4,1,-1.279,-1.234,-0.302,-0.704,-0.775
3,2,1,1,4,4,1,-0.825,0.813,-1.137,-0.642,-1.984
3,4,2,1,4,3,1,-0.404,-0.835,-1.044,-0.668,-0.342
2,4,1,1,4,4,1,0.571,0.239,0.63,0.54,0.706
3,4,4,1,3,1,1,-0.37,-0.493,-0.686,-0.49,-0.188
1,4,4,1,3,1,2,-2.022,-0.169,-0.242,-2.285,-1.676
3,2,3,1,5,4,1,-1.062,-0.437,-0.049,-0.443,-0.804
1,4,3,1,4,4,1,0.724,0.017,0.142,0.332,-0.038
1,4,4,1,4,3,1,0.875,0.813,0.393,0.52,0.872
1,3,2,1,4,4,1,0.574,-0.16,-0.681,-1.958,-2.146
1,4,4,1,4,3,1,0.875,0.813,1.391,0.847,-0.212
3,1,2,1,4,4,1,-0.333,0.007,-1.278,-0.527,-0.645
3,1,3,1,5,4,1,-0.354,0.536,0.822,0.399,0.255
3,4,2,1,5,1,1,0.875,0.349,-0.706,-0.21,-0.645
3,4,2,1,3,1,1,-0.367,0.813,0.179,0.593,0.706
3,2,2,1,3,2,1,-0.097,0.813,-1.165,-0.445,0.274
2,4,2,1,3,2,1,0.724,0.581,0.227,1.129,-0.635
3,4,2,1,3,3,1,0.389,0.359,1.075,0.54,1.155
3,4,2,1,3,1,1,-0.367,0.813,0.179,0.593,0.706
3,4,2,1,3,1,1,-0.367,0.813,0.179,0.593,0.706
3,1,1,1,4,3,1,1.21,0.813,1.053,1.326,0.866
3,4,4,1,4,3,1,1.21,0.813,-0.643,0.706,1.155
1,3,2,1,4,2,2,-0.216,0.813,-0.469,-0.257,-0.175
1,3,2,1,4,2,2,-0.216,0.813,-0.469,-0.257,-0.175
1,4,4,1,4,2,2,-0.586,0.239,-1.076,-2.332,-0.364
3,4,4,1,4,1,1,0.116,-0.261,0.098,-0.245,0.414
1,4,1,1,4,2,1,0.298,-0.076,-0.299,-2.125,0.388
1,4,4,1,5,3,1,0.204,0.591,1.075,0.072,-0.804
2,1,3,1,4,1,1,-1.445,-1.299,-1.047,-1.14,-1.999
2,2,1,1,4,3,2,1.21,0.813,-0.691,0.48,0.554
3,4,1,1,1,2,1,0.724,0.591,0.142,0.106,0.095
1,4,3,1,4,2,1,-0.169,-0.428,0.142,-0.313,0.137
2,4,4,1,4,4,1,1.21,0.813,0.91,1.326,1.155
1,4,4,1,4,3,1,-0.182,-0.437,-0.369,-0.734,-0.053
2,4,2,1,4,1,1,1.21,0.813,-0.24,0.903,0.106
2,4,4,1,4,3,1,1.21,0.239,1.289,-0.104,0.255
2,1,2,1,5,2,1,-1.035,-2.846,-0.43,-1.031,1.155
1,4,3,1,4,3,1,0.724,0.536,1.264,0.399,-1.842
3,1,2,1,1,1,1,-0.169,-0.215,0.608,0.27,0.096
