DER-LAB,SAL-SEG,RS,INCLU,RES-CS
0.238,-1.521,-0.643,-0.984,-0.505
0.758,0.813,0.97,0.762,1.155
-1.238,0.813,0.709,1.008,0.124
0.909,0.349,0.481,1.044,0.575
-0.302,-0.131,-1.387,-1.764,-0.822
1.06,-1.449,0.47,1.044,0.448
-0.677,-1.854,-0.723,-0.309,-0.421
-0.169,-0.901,0.377,-1.225,-0.786
0.147,-1.143,-1.639,-1.027,-3.033
1.21,0.813,1.732,1.326,1.155
1.06,0.359,0.734,0.025,0.706
1.21,0.813,1.478,1.326,1.155
-0.613,-0.447,0.758,0.364,-0.21
1.21,0.813,1.414,1.185,-0.175
-0.978,-2.43,-1.021,-0.84,-1.145
-0.552,-0.957,-0.413,-0.445,-1.816
-1.796,-2.263,-1.363,-1.958,-0.906
-1.78,-1.476,-1.402,-0.901,-0.645
0.499,-0.261,0.783,-0.36,1.155
-1.157,-1.244,-0.898,-1.826,-0.965
0.454,0.591,-0.3,1.055,0.566
1.21,0.813,1.732,1.326,1.024
0.571,0.581,0.097,0.931,0.554
-0.591,-0.679,1.178,1.044,0.424
1.21,0.813,0.844,0.48,1.155
0.574,0.127,0.974,0.717,-0.928
0.875,0.813,1.605,1.185,1.155
0.875,0.813,0.322,1.185,-3.797
0.571,0.127,-0.364,0.988,0.685
-2.251,-3.765,-2.211,-2.847,-2.335
0.758,0.813,0.923,0.903,1.155
-0.658,-0.669,-0.619,-1.454,-0.514
0.238,0.813,0.292,0.399,-0.645
0.574,-0.206,0.082,0.706,0.996
-2.783,0.813,-0.579,-0.507,-0.904
-1.332,-3.401,-1.83,-2.847,0.537
-2.358,-0.966,-0.519,0.061,-0.016
0.238,-0.215,-0.304,-0.112,0.263
-2.834,0.349,-1.769,-2.14,-1.403
1.21,0.813,1.606,1.044,1.014
0.306,0.813,1.097,1.326,1.024
-2.285,-2.494,-1.252,-0.719,-1.57
-0.862,-0.447,0.202,-0.563,0.255
-0.708,-1.373,0.505,0.931,-1.97
0.119,0.813,0.415,0.452,1.155
0.306,-0.78,-2.211,-0.248,-0.645
0.269,0.349,0.29,0.529,-0.505
1.21,0.813,-1.449,1.044,1.155
-1.612,-0.845,-2.211,-0.342,-0.197
-1.16,0.017,-1.639,0.061,-1.386
-0.032,0.081,-0.405,0.734,0.413
0.088,0.581,-0.303,-0.855,-0.216
1.21,0.813,1.732,1.326,1.155
-2.664,-1.476,-1.385,-1.172,-1.89
0.306,0.813,-1.834,0.48,0.554
1.21,0.813,1.732,1.326,0.894
-0.711,0.349,0.38,-1.588,1.155
-0.711,0.349,0.38,-1.588,1.155
1.21,0.813,1.227,1.326,1.155
-3.391,-2.846,-1.303,-2.025,-0.849
-2.905,-3.06,-1.428,-1.651,-1.226
-0.473,-0.715,0.735,1.008,0.395
-0.495,-1.244,-0.24,0.493,0.255
0.42,0.591,-0.177,0.903,-0.016
1.06,0.813,1.351,0.847,1.155
0.317,0.536,1.202,1.185,0.124
0.724,0.581,0.695,0.399,1.155
-0.37,-2.726,-0.111,-1.031,1.155
1.21,0.813,1.732,1.326,0.894
0.264,0.813,1.01,0.258,0.124
0.306,0.813,1.099,0.578,1.155
0.42,0.359,0.417,0.706,0.255
0.758,0.813,0.646,0.726,0.741
1.21,0.813,1.732,1.326,1.155
1.21,0.813,1.605,1.185,1.155
1.21,0.813,1.732,1.326,1.155
0.085,-0.271,0.14,-0.631,0.255
-0.001,0.591,-2.211,0.796,0.721
0.42,-0.215,-0.089,-0.024,0.996
-0.251,0.813,-0.583,0.247,-0.757
0.75,0.581,0.458,1.129,0.715
