1. Labor rights and health,2. Inclusion and gender equity,3. Social Responsibility,4. Supply chain resilience,5. Social sustainability2Ord,RES_CS_1,RES_CS_2,RES_CS_3,RES_CS_4,RES_CS_5,RES_CS_6,TIEMPO_PANDEMIA
-2.207,-1.982,-0.381,-1.53,-1.749,3,2,3,5,4,3,POST_Covid19_(2023)
0.561,1.042,0.581,0.775,0.812,7,7,6,6,6,6,POST_Covid19_(2023)
0.561,0.844,0.784,0.527,0.806,6,6,6,6,6,6,POST_Covid19_(2023)
1.18,1.312,1.19,0.527,1.364,6,6,6,6,6,6,POST_Covid19_(2023)
1.069,1.312,1.512,0.398,1.429,7,7,7,6,4,4,POST_Covid19_(2023)
-0.407,0.074,-0.205,-0.772,-0.201,4,4,4,4,5,5,POST_Covid19_(2023)
-0.361,0.306,1.106,-0.371,0.347,5,5,5,5,4,5,POST_Covid19_(2023)
0.838,0.39,1.309,1.184,0.919,7,7,7,7,6,7,POST_Covid19_(2023)
0.304,0.397,1.106,0.775,0.644,7,7,6,6,6,6,POST_Covid19_(2023)
-0.371,0.638,0.328,-0.518,0.207,4,6,4,4,5,5,POST_Covid19_(2023)
0.561,0.515,0.37,0.286,0.541,6,6,6,6,4,6,POST_Covid19_(2023)
0.025,0.225,1.099,-0.25,0.466,5,5,5,5,5,5,POST_Covid19_(2023)
-0.177,-0.276,0.152,-1.283,-0.123,4,4,4,4,3,3,POST_Covid19_(2023)
0.533,0.77,0.581,0.781,0.698,7,7,6,7,6,5,POST_Covid19_(2023)
0.838,0.844,1.309,0.781,1.092,7,6,7,6,6,6,POST_Covid19_(2023)
0.449,1.042,1.674,0.527,1.137,6,6,6,6,6,6,POST_Covid19_(2023)
-0.288,0.773,0.581,-2.215,0.376,4,4,4,1,1,1,POST_Covid19_(2023)
-2.371,-1.338,-0.941,0.38,-1.758,6,5,6,5,7,6,POST_Covid19_(2023)
-2.534,-1.448,-1.776,-3.224,-2.146,1,1,1,1,1,2,POST_Covid19_(2023)
-2.534,-0.401,-0.45,-0.639,-1.301,4,5,4,5,5,4,POST_Covid19_(2023)
1.18,1.009,1.674,1.304,1.412,7,7,7,7,7,7,POST_Covid19_(2023)
-1.713,-1.908,-0.78,-0.504,-1.661,4,5,4,5,5,5,POST_Covid19_(2023)
-1.803,-1.584,-1.201,-2.053,-1.716,2,3,4,2,2,3,POST_Covid19_(2023)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,POST_Covid19_(2023)
-1.382,-0.895,-0.415,-0.25,-1.024,5,5,5,5,5,5,POST_Covid19_(2023)
-2.534,-0.87,-0.078,1.304,-1.353,7,7,7,7,7,7,POST_Covid19_(2023)
0.022,0.542,0.524,0.137,0.391,6,6,6,6,5,4,POST_Covid19_(2023)
-2.534,-2.402,-1.776,0.756,-2.508,7,7,5,5,7,7,POST_Covid19_(2023)
-1.296,-1.02,-0.423,-1.41,-1.04,3,3,4,4,4,3,POST_Covid19_(2023)
-0.058,0.461,0.16,1.304,0.206,7,7,7,7,7,7,POST_Covid19_(2023)
-0.343,0.012,0.433,0.025,0.016,5,5,5,6,5,6,POST_Covid19_(2023)
-0.522,-0.199,0.054,-0.501,-0.263,4,5,6,6,5,2,POST_Covid19_(2023)
-0.684,-0.058,-0.415,-0.245,-0.431,5,6,6,5,4,4,POST_Covid19_(2023)
-2.201,-2.402,-1.776,0.239,-2.377,6,6,5,5,7,5,POST_Covid19_(2023)
1.18,1.16,1.463,0.788,1.398,7,6,6,7,6,6,POST_Covid19_(2023)
-1.303,-1.72,-0.205,0.138,-1.235,6,6,5,6,5,5,POST_Covid19_(2023)
0.484,0.74,0.888,0.527,0.771,6,6,6,6,6,6,POST_Covid19_(2023)
1.18,1.312,1.19,1.17,1.364,7,7,7,7,7,6,POST_Covid19_(2023)
-1.842,-1.235,-0.423,-0.646,-1.336,5,5,5,4,4,4,POST_Covid19_(2023)
0.353,-0.402,0.566,0.252,0.177,5,6,6,5,7,5,POST_Covid19_(2023)
-1.862,-1.783,-0.738,0.401,-1.658,4,6,6,5,7,7,POST_Covid19_(2023)
1.061,1.312,1.674,0.782,1.48,6,6,6,6,7,7,POST_Covid19_(2023)
0.217,0.693,0.896,0.915,0.651,7,7,6,7,6,6,POST_Covid19_(2023)
-0.288,0.619,0.524,0.386,0.299,6,6,6,5,6,6,POST_Covid19_(2023)
0.561,0.891,1.309,0.908,1.001,7,7,7,6,6,6,POST_Covid19_(2023)
0.092,0.773,1.674,-0.13,0.895,6,5,5,5,5,5,POST_Covid19_(2023)
0.435,-0.141,0.831,0.253,0.398,6,6,5,5,6,6,POST_Covid19_(2023)
-0.907,-0.869,-0.051,-1.027,-0.704,4,4,4,4,4,4,POST_Covid19_(2023)
0.022,0.568,0.896,-0.236,0.527,5,5,5,5,4,6,POST_Covid19_(2023)
-1.418,-1.006,-0.73,-2.065,-1.186,3,2,2,3,3,3,POST_Covid19_(2023)
1.18,1.312,0.581,1.17,1.158,7,7,7,7,7,6,POST_Covid19_(2023)
0.561,0.693,1.057,0.775,0.84,7,7,6,6,6,6,POST_Covid19_(2023)
0.561,0.693,1.099,0.527,0.855,6,6,6,6,6,6,POST_Covid19_(2023)
-1.083,-0.111,-1.047,0.266,-0.822,6,6,6,5,5,6,POST_Covid19_(2023)
-2.309,-1.861,-0.135,-1.535,-1.66,3,3,3,3,3,5,POST_Covid19_(2023)
0.869,0.962,1.674,0.93,1.272,6,7,6,7,6,7,POST_Covid19_(2023)
0.791,1.187,1.309,0.406,1.204,5,6,6,6,6,6,POST_Covid19_(2023)
-2.534,-2.1,-0.933,-3.085,-2.109,1,1,2,2,1,1,POST_Covid19_(2023)
-0.558,-0.545,-0.212,-0.371,-0.498,5,5,5,5,4,5,POST_Covid19_(2023)
-0.743,0.7,-0.19,-0.342,-0.091,2,4,4,6,6,7,POST_Covid19_(2023)
0.254,0.343,0.735,-0.364,0.478,4,6,5,5,4,5,POST_Covid19_(2023)
-1.702,-0.036,0.11,-0.373,-0.646,6,7,6,5,2,3,POST_Covid19_(2023)
-0.323,0.225,0.938,0.406,0.275,5,6,6,6,6,6,POST_Covid19_(2023)
